id,manufacturer
19U,Acura
2HH,Acura
2HN,Acura
5J8,Acura
JAE,Acura
JH4,Acura
ZAR,Alfa Romeo
137,"AM General, Hummer"
1AC,AMC
1AM,AMC
1JD,AMC
1XM,AMC
2CM,AMC
2CC,"AMC, Eagle"
1JC,"AMC, Jeep"
1JT,"AMC, Jeep"
2BC,"AMC, Jeep"
5SX,Amercian LeFrance
SCF,Aston Martin
KL7,Asuna
TRU,Audi
WA1,Audi
WAU,Audi
WUA,Audi
1WA,Autostar
1WB,Autostar
SCB,Bentley
1BA,Blue Bird
1BB,Blue Bird
1BD,Blue Bird
4US,BMW
5UM,BMW
5UX,BMW
WBA,BMW
WBS,BMW
WBX,BMW
1G4,Buick
3G4,Buick
3G5,Buick
5GA,Buick
2G4,BuickX
1G6,Cadillac
1GE,Cadillac
1GY,Cadillac
3GY,Cadillac
W06,Cadillac
1C9,Chance
1G1,Chevrolet
1GA,Chevrolet
1GB,Chevrolet
1GC,Chevrolet
1GN,Chevrolet
2G1,Chevrolet
2G8,Chevrolet
2GA,Chevrolet
2GB,Chevrolet
2GN,Chevrolet
3G1,Chevrolet
3GB,Chevrolet
3GC,Chevrolet
3GE,Chevrolet
3GN,Chevrolet
4G1,Chevrolet
4KB,Chevrolet
J8B,Chevrolet
J8Z,Chevrolet
KL1,Chevrolet
1Y1,"Chevrolet, Geo"
2C1,"Chevrolet, Geo"
2CN,"Chevrolet, Geo"
JG1,"Chevrolet, Geo"
1G8,"Chevrolet, Saturn"
J81,"Chevrolet,Geo"
1A4,Chrysler
1A8,Chrysler
1C3,Chrysler
1C4,Chrysler
1C8,Chrysler
2A3,Chrysler
2A4,Chrysler
2A8,Chrysler
2C3,Chrysler
2C4,Chrysler
2C8,Chrysler
3A4,Chrysler
3A8,Chrysler
3C3,Chrysler
3C4,Chrysler
3C8,Chrysler
3CA,Chrysler
4C3,Chrysler
JJ3,Chrysler
ZC2,Chrysler
1CY,Crane Carrier
KLA,Daewoo
JD1,Daihatsu
JD2,Daihatsu
1N6,"Datsun, Nissan"
JN1,"Datsun, Nissan"
JN6,"Datsun, Nissan"
3AB,Dina
1B3,Dodge
1B4,Dodge
1B6,Dodge
1B7,Dodge
1B7,Dodge
1D3,Dodge
1D4,Dodge
1D5,Dodge
1D7,Dodge
1D8,Dodge
2B3,Dodge
2B4,Dodge
2B5,Dodge
2B6,Dodge
2B7,Dodge
2B8,Dodge
2D4,Dodge
2D6,Dodge
2D7,Dodge
2D8,Dodge
3B3,Dodge
3B4,Dodge
3B6,Dodge
3B7,Dodge
3D3,Dodge
3D5,Dodge
3D6,Dodge
3D7,Dodge
4B3,Dodge
JB3,Dodge
JB4,Dodge
JB7,Dodge
ML3,Dodge
WD0,Dodge
WD1,Dodge
WD2,Dodge
WD5,Dodge
WD8,Dodge
WDP,Dodge
WDX,Dodge
WDY,Dodge
2E3,Eagle
2XM,Eagle
4E3,Eagle
JE3,Eagle
VF1,Eagle
WKK,Fahrzeugwerke
ZFF,Ferrari
ZFA,Fiat
1EC,Fleetwood
1GF,Flexible
1F1,Ford
1F6,Ford
1FA,Ford
1FB,Ford
1FC,Ford
1FD,Ford
1FE,Ford
1FM,Ford
1FT,Ford
1ZV,Ford
2FA,Ford
2FD,Ford
2FM,Ford
2FT,Ford
3FA,Ford
3FC,Ford
3FD,Ford
3FR,Ford
3FT,Ford
9BF,Ford
JC2,Ford
KNJ,Ford
3FE,"Ford, Freightliner"
1FU,Freightliner
1FV,Freightliner
2FU,Freightliner
2FV,Freightliner
3AL,Freightliner
4UZ,Freightliner
5AS,GEM
4DR,"Genesis, International"
JGC,Geo
2CK,"Geo, Pontiac"
15G,Gillig
46G,Gillig
1GD,GMC
1GJ,GMC
1GK,GMC
1GT,GMC
2G0,GMC
2G5,GMC
2GD,GMC
2GJ,GMC
2GK,GMC
2GT,GMC
3GD,GMC
3GK,GMC
3GT,GMC
4GD,GMC
4KD,GMC
J8D,GMC
1GH,"GMC, Oldsmobile"
1G5,"GMC, Pontiac"
5PV,Hino
JHB,Hino
1HG,Honda
2HG,Honda
2HJ,Honda
2HK,Honda
3HG,Honda
3HM,Honda
4S6,Honda
5FN,Honda
5J6,Honda
JHL,Honda
JHM,Honda
SHH,Honda
SHS,Honda
5GR,Hummer
5GT,Hummer
2HM,Hyundai
5NM,Hyundai
5NP,Hyundai
KM8,Hyundai
KMF,Hyundai
KMH,Hyundai
KND,"Hyundai, Kia"
5N3,Infiniti
JNK,Infiniti
JNR,Infiniti
JNX,Infiniti
1HS,International
1HT,International
1HV,International
2HS,International
2HT,International
3HA,International
3HS,International
3HT,International
1GG,Isuzu
4KL,Isuzu
4NU,Isuzu
4S1,Isuzu
4S2,Isuzu
J87,Isuzu
JAA,Isuzu
JAB,Isuzu
JAC,Isuzu
JAL,Isuzu
JR2X,Isuzu
LES,Isuzu
LM5,Isuzu
4GT,"Isuzu, WhiteGMC"
SAJ,Jaguar
1J4,Jeep
1J7,Jeep
1J8,Jeep
2J4,Jeep
17N,John Deere
1NK,Kenworth
1XK,Kenworth
2NK,Kenworth
2XK,Kenworth
3BK,Kenworth
3NK,Kenworth
3WK,Kenworth
KNA,Kia
XTA,Lada
ZA9,Lamborghini
ZHWX,Lamborghini
SAL,Land Rover
2T2,Lexus
JT6,Lexus
JT8,Lexus
JTH,Lexus
JTJ,Lexus
1L1,Lincoln
1LN,Lincoln
1MR,Lincoln
2LM,Lincoln
3LN,Lincoln
5LM,Lincoln
5LT,Lincoln
SCC,Lotus
1M1,Mack
1M2,Mack
1M3,Mack
2M2,Mack
VG6,Mack
4SL,Magnum
ZAM,Maserati
WDB,"Maybach, Mercedes-Benz"
1YV,Mazda
4F2,Mazda
4F4,Mazda
JM1,Mazda
JM2,Mazda
JM3,Mazda
1M8,MCI
4JG,Mercedes-Benz
WDC,Mercedes-Benz
WDD,Mercedes-Benz
WME,Mercedes-Benz
1ME,Mercury
1ZW,Mercury
2ME,Mercury
2MH,Mercury
2MR,Mercury
3MA,Mercury
3ME,Mercury
4M2,Mercury
6MP,Mercury
WF1,Merkur
WMW,Mini
1Z3,Mitsubishi
1Z5,Mitsubishi
1Z7,Mitsubishi
4A3,Mitsubishi
4A4,Mitsubishi
6MM,Mitsubishi
JA3,Mitsubishi
JA4,Mitsubishi
JA7,Mitsubishi
JL6,Mitsubishi
JW6,Mitsubishi
JW7,Mitsubishi
KPH,Mitsubishi
SA9,Morgan
1N9,Neoplan
5FY,New Flyer
1N4,Nissan
3N1,Nissan
4N1,Nissan
4N2,Nissan
5N1,Nissan
JN3,Nissan
JN4,Nissan
JN8,Nissan
JNA,Nissan
1G3,Oldsmobile
2G3,Oldsmobile
2B1,Orion
10T,Oshkosh
4CD,Oshkosh
11V,Ottawa
1P9,Panoz
1NP,Peterbilt
1XP,Peterbilt
2NP,Peterbilt
2XP,Peterbilt
3BP,Peterbilt
3NM,Peterbilt
VF3,Peugeot
1P3,Plymouth
1P4,Plymouth
1P7,Plymouth
2P3,Plymouth
2P4,Plymouth
2P5,Plymouth
3P3,Plymouth
4P3,Plymouth
JP3,Plymouth
JP4,Plymouth
JP7,Plymouth
1G2,Pontiac
1GM,Pontiac
2C7,Pontiac
2G2,Pontiac
2G7,Pontiac
3G2,Pontiac
3G7,Pontiac
4G2,Pontiac
5Y2,Pontiac
6G2,Pontiac
JG7,Pontiac
KL2,Pontiac
WP0,Porsche
WP1,Porsche
2P9,Prevost
2PC,Prevost
1RF,Roadmaster
SCA,Rolls-Royce
5S3,Saab
JF4,Saab
YS3,Saab
1S9,Saleen
5GZ,Saturn
JTK,Scion
JTL,Scion
4S7,Spartan
4VZ,Spartan
2FW,Sterling
2FZ,Sterling
49H,Sterling
JLS,Sterling
SAX,Sterling
4S3,Subaru
4S4,Subaru
JF1,Subaru
JF2,Subaru
JF3,Subaru
2S2,Suzuki
2S3,Suzuki
JS2,Suzuki
JS3,Suzuki
JS4,Suzuki
KL5,Suzuki
177,Thomas
1T8,Thomas
1TU,TMC
1NX,Toyota
2T1,Toyota
3TM,Toyota
4T1,Toyota
4T3,Toyota
4TA,Toyota
5TB,Toyota
5TD,Toyota
